"State","year","month","NO2.AQI","O3.AQI","SO2.AQI","CO.AQI"
"Arizona",2012,6,28.3944444444444,46.9722222222222,1.4,3
"Arizona",2012,7,20.5967741935484,47.8440860215054,1.5,2.75806451612903
"Arizona",2012,8,30.8269230769231,63.0384615384615,1.90384615384615,2.86538461538462
"Arizona",2012,9,28.4277777777778,42.7,1.97222222222222,3.96111111111111
"Arizona",2012,10,38.3064516129032,36.2741935483871,2.56989247311828,6.1505376344086
"Arizona",2012,11,39.9777777777778,27.6277777777778,3.70555555555556,10.3
"Arizona",2012,12,35.6612903225806,26.1666666666667,3.40322580645161,8.83333333333333
"Arizona",2013,1,36.6559139784946,26.7150537634409,3.38709677419355,8.63440860215054
"Arizona",2013,2,38.4345238095238,34.2857142857143,2.49404761904762,6.85714285714286
"Arizona",2013,3,37.8387096774194,41.3064516129032,2.47311827956989,5.83333333333333
"Arizona",2013,4,28.6611111111111,47.4777777777778,1.76666666666667,4.66666666666667
"Arizona",2013,5,27.3602150537634,64.7956989247312,1.80645161290323,3.56989247311828
"Arizona",2013,6,26.4833333333333,48.0055555555556,1.86111111111111,3.26666666666667
"Arizona",2013,7,16.5591397849462,61.5913978494624,0.763440860215054,3.01075268817204
"Arizona",2013,8,23.0591397849462,53.3763440860215,2.55913978494624,2.97311827956989
"Arizona",2013,9,27.4944444444444,46.7944444444444,2.26666666666667,3.55555555555556
"Arizona",2013,10,35.8172043010753,40.494623655914,1.97849462365591,6.90322580645161
"Arizona",2013,11,31.3111111111111,31.5222222222222,2.13333333333333,8.18888888888889
"Arizona",2013,12,33.8064516129032,27.0215053763441,3.13978494623656,10.8924731182796
"Arizona",2014,1,39.5860215053763,28.4569892473118,4.29569892473118,12.5860215053763
"Arizona",2014,2,37.8571428571429,35.0059523809524,2.85119047619048,8.97619047619048
"Arizona",2014,3,33.1182795698925,46.6881720430108,1.74193548387097,5.67741935483871
"Arizona",2014,4,30.1222222222222,56.6055555555556,1.65,4.21666666666667
"Arizona",2014,5,28.1612903225806,60.1666666666667,1.77956989247312,4.25806451612903
"Arizona",2014,6,31.95,57.6444444444444,2.34444444444444,4.55555555555556
"Arizona",2014,7,18.8709677419355,62.0322580645161,2.43548387096774,4.09677419354839
"Arizona",2014,8,21.5537634408602,55.2365591397849,2.06989247311828,4.16666666666667
"Arizona",2014,9,25.3111111111111,47.0333333333333,1.63333333333333,5.08888888888889
"Arizona",2014,10,35.752688172043,44.1505376344086,2.21505376344086,8.08602150537634
"Arizona",2014,11,35.2222222222222,32.7666666666667,2.83333333333333,9.83333333333333
"Arizona",2014,12,33.7311827956989,24.1075268817204,2.74193548387097,11.2150537634409
"Arizona",2015,1,32.7204301075269,26.2849462365591,2.65591397849462,10.0161290322581
"Arizona",2015,2,34.7440476190476,35.7797619047619,2.23214285714286,8.79166666666667
"Arizona",2015,3,33.3225806451613,45.6989247311828,1.81720430107527,6.82795698924731
"Arizona",2015,4,29.8888888888889,56.8555555555556,0.922222222222222,5.04444444444444
"Arizona",2015,5,23.3870967741935,60.4032258064516,1.20430107526882,4.17204301075269
"Arizona",2015,6,21.7,63.7111111111111,0.833333333333333,3.82222222222222
"Arizona",2015,7,15.6451612903226,45.258064516129,1.35483870967742,2.65591397849462
"Arizona",2015,8,20.6236559139785,55.6344086021505,1.36559139784946,3.79569892473118
"Arizona",2015,9,22.3444444444444,42.6111111111111,1.52222222222222,4.42222222222222
"Arizona",2015,10,18.241935483871,37.8709677419355,1.43010752688172,6.20430107526882
"Arizona",2015,11,32.2666666666667,32.1,1.86666666666667,8.3
"Arizona",2015,12,34.8709677419355,25.3387096774194,2.98387096774194,10.3709677419355
"Arizona",2016,1,30.6129032258065,29.2096774193548,1.37096774193548,8.69354838709677
"Arizona",2016,2,29.8275862068966,38.051724137931,1.32758620689655,8.06896551724138
"Arizona",2016,3,26.0645161290323,44.9193548387097,0.467741935483871,5.90322580645161
"California",2000,1,36.0690813160659,18.7795392312223,6.04993958822851,18.7548025840452
"California",2000,2,29.9047683950233,27.0286220526101,4.29117259552042,12.251176359872
"California",2000,3,30.7681529176761,35.270722512644,5.8052732797824,10.3088794678907
"California",2000,4,28.9945048309179,39.9267512077295,5.42204106280193,8.87397342995169
"California",2000,5,25.2799948999107,43.540354456203,6.40195078413872,6.88110416932296
"California",2000,6,22.1722826086957,41.6327898550725,5.02264492753623,6.46630434782609
"California",2000,7,21.4216129032258,38.5781182795699,5.37897849462366,5.50768817204301
"California",2000,8,25.8224193548387,41.0390322580645,7.10569892473118,6.93043010752688
"California",2000,9,30.276388104649,36.5514775079992,6.54443503356547,8.53194052324487
"California",2000,10,29.2941935483871,31.6038709677419,5.71354838709677,9.88258064516129
"California",2000,11,38.274641025641,22.2859483463397,6.97864139725009,18.4219817911557
"California",2000,12,41.3296002805049,16.5148971482001,7.54530388031791,22.1960635811127
"California",2001,1,37.789758079695,20.817444855285,6.57671390320759,18.1186411601489
"California",2001,2,32.0389788860208,25.4992684161939,5.08864037446336,13.0710666110977
"California",2001,3,30.4906534325889,34.4455307416598,6.20506938700487,10.1992206598658
"California",2001,4,27.211784466741,38.6675007432181,5.12114678558157,7.39217261241174
"California",2001,5,27.7080740461035,48.7636284029201,6.62201945553278,7.24641223432949
"California",2001,6,26.2638689458689,45.7033257359924,6.97535422602089,6.32300474833808
"California",2001,7,21.2721551328003,38.5350225163128,6.0949398033269,5.50880249977024
"California",2001,8,25.0124152191894,41.7092018196857,6.70434656741108,6.37021505376344
"California",2001,9,30.5546628679962,37.6392535612536,7.3852269705603,8.30770750237417
"California",2001,10,38.0497065658356,34.2105242427823,7.35845576168157,12.2248053619021
"California",2001,11,36.4721785375119,23.7902431149098,6.13301994301994,15.804710351377
"California",2001,12,32.6694376829861,19.8167896858219,5.31677937952132,17.3745842031326
"California",2002,1,34.4107146818493,19.6044268424691,5.81140126301417,16.7307650430565
"California",2002,2,37.1145483749055,27.2733507762079,5.89208965637537,15.7936310250596
"California",2002,3,30.2234291889464,34.5235249857052,5.23372711414981,9.76709186664693
"California",2002,4,23.8523763911695,37.2886212978167,4.70952076871617,6.89450678100103
"California",2002,5,22.5366110221505,41.5050490234027,4.37235421440093,5.88964030037445
"California",2002,6,20.1917243250577,43.8766483516483,5.12859517026184,5.4568138651472
"California",2002,7,20.0273756351176,42.0395373980858,6.27120524636654,5.04426444523219
"California",2002,8,24.5833618005287,47.9395109459135,4.92417133175899,6.96643668574945
"California",2002,9,31.1624415954416,43.5434805318139,6.66714577397911,8.75756172839506
"California",2002,10,32.6726403823178,38.1756272401434,6.06571087216248,10.3799283154122
"California",2002,11,37.4635578884347,25.0568126677402,6.32281671415005,16.6628698542467
"California",2002,12,32.76362408746,22.869556586471,4.47610206063221,16.222424569353
"California",2003,1,33.9655231268135,16.9798895847283,5.66557039137684,16.2984855646146
"California",2003,2,29.329858667605,27.0006369406,4.29123009356999,11.7121582349415
"California",2003,3,28.5353149001536,34.5972243885147,4.32490067877165,9.25863405411793
"California",2003,4,23.7722917514584,39.1899555691222,3.83349952516619,6.57684337267671
"California",2003,5,24.7259309149632,47.3836953667599,5.04342799375057,6.77073634251054
"California",2003,6,19.564229468599,49.2127971014493,4.29511352657005,5.37582850241546
"California",2003,7,22.4582754342432,47.23052936311,5.89571133167907,6.3216211745244
"California",2003,8,22.5460909123602,42.5566974143201,5.00825601467256,6.54666468874744
"California",2003,9,25.9489130434783,44.2907004830918,5.35682367149758,7.46467391304348
"California",2003,10,36.3954991059251,37.1731622618134,5.21366935135473,12.1717249433822
"California",2003,11,30.8081253842776,23.7823761528327,4.07574879227053,12.7016941150637
"California",2003,12,32.6750163627864,19.8490439457691,4.99492753623188,15.4470546984572
"California",2004,1,32.5305155340218,21.1120532109312,5.17936907645884,14.5040110076926
"California",2004,2,31.3920028622053,27.6885023397392,4.57986347735223,11.1472104856663
"California",2004,3,33.1290960091802,36.4666338803786,5.73570305337486,9.52597402597403
"California",2004,4,24.9066089466089,43.4428210678211,5.84937229437229,7.10789321789322
"California",2004,5,22.7144951822371,43.7929060187125,4.82265046781176,6.41230275101243
"California",2004,6,17.5648817366209,42.6375186616079,4.4813065833226,5.13911683523697
"California",2004,7,17.4253315058014,36.3562146712567,4.64737132899826,4.7536763143355
"California",2004,8,19.266131369799,40.4258672276765,5.81121318373072,4.8078868630201
"California",2004,9,28.2108019323672,47.1026231884058,7.11523429951691,6.96917391304348
"California",2004,10,27.9199808746653,33.507743696229,5.95623188405797,8.37305425523518
"California",2004,11,30.2576910408432,24.4015590689504,6.13147782169521,11.43786780852
"California",2004,12,30.7056368736453,20.5539500191253,5.87026945471546,13.0278628500999
"California",2005,1,27.1948527349229,20.2064773258532,4.75611033193081,10.2735390369331
"California",2005,2,26.4613121118012,25.4625439958592,4.27806418219462,8.76277691511387
"California",2005,3,25.2515043138255,34.4890785838752,4.74345021037868,7.33535849377364
"California",2005,4,24.8513155467721,39.9875527009223,4.62476416337286,6.46774967061924
"California",2005,5,18.7511594202899,41.3384852734923,3.77517999064984,4.99334969611968
"California",2005,6,16.1494855072464,38.0390483091787,3.59613043478261,4.23442028985507
"California",2005,7,18.290163202856,42.9004366951422,5.69674656806494,4.87738004165073
"California",2005,8,19.7429926898721,42.2596211058693,5.48587912788474,4.92614433252582
"California",2005,9,24.9586352657005,39.2778381642512,6.13725845410628,6.1875
"California",2005,10,29.5056685366994,32.7084502103787,5.76430150027625,8.0777072973777
"California",2005,11,32.5368686868687,25.8431927975406,5.38480456741326,11.8284694773825
"California",2005,12,30.7519284712482,19.218443197756,5.36179289387564,13.202840112202
"California",2006,1,29.4477559607293,24.1272791023843,4.95359981299673,10.6589527816737
"California",2006,2,33.8452380952381,29.8771997929607,4.94629917184265,10.7528467908903
"California",2006,3,24.150829827022,34.22399485741,3.21943665264142,6.79827021972885
"California",2006,4,21.4196859903382,36.1437801932367,3.63816425120773,5.92385265700483
"California",2006,5,19.1882889200561,44.2329943899018,3.87897381954184,4.75163627863488
"California",2006,6,20.0874890206412,45.0358695652174,4.38462340799297,4.64694224857268
"California",2006,7,18.7250467508181,44.6600631136045,4.72043010752688,4.304698457223
"California",2006,8,18.4118838151096,41.0862006156536,5.85394922982581,4.26317674845024
"California",2006,9,25.0894598155468,39.5386693017128,5.5366930171278,5.64855072463768
